Item1,relation,Item2
罗马帝国,official religion,基督教
坡度,instance of,物理量
俄罗斯帝国,shares border with,奥匈帝国
印度洋,has part,阿拉伯海
古晋,twinned administrative body,镇江市
维尔纽斯,twinned administrative body,埃尔福特
弹巢,part of,左轮手枪
阿塔罗斯一世,place of death,帕加马
利比里亚,official language,英语
温斯顿·丘吉尔,country of citizenship,英国
西班牙,country,西班牙
雇佣,facet of,劳动
安全,subclass of,保安
叔本华,influenced by,柏拉图
自然人,opposite of,法人
禹,country of citizenship,夏朝
大马士革,twinned administrative body,安卡拉
大不列颠及北爱尔兰联合王国,diplomatic relation,沙特阿拉伯
天津,part of,华北地区
南斯拉夫社会主义联邦共和国,replaced by,克罗地亚
洞庭湖,lake inflows,长江
约翰·希尔勒,sex or gender,男性
奥斯陆,twinned administrative body,哥本哈根
居里夫人,occupation,化学家
马其顿共和国,diplomatic relation,德国
东德,diplomatic relation,以色列
费尔巴哈,religion,新教
君士坦丁堡,country,奥斯曼帝国
21世纪,follows,20世纪
德意志民主共和国,contains administrative territorial entity,东柏林
逻辑或,instance of,布尔函数
生物,part of,种群
叶绿素,has part,镁
意大利半岛,instance of,半岛
突尼斯,diplomatic relation,德国
薄太后,country of citizenship,中国
恩斯特·库默尔,languages spoken written or signed,德语
罗素,influenced by,乔治·布尔
圣座,diplomatic relation,德国
马鞍山,country,中华人民共和国
卡宾达省,country,安哥拉
共主邦联,subclass of,国家
斯洛文尼亚,diplomatic relation,克罗地亚
南京,shares border with,马鞍山市
卡拉奇,twinned administrative body,吉隆坡
梁启超,languages spoken written or signed,汉语
古巴,official language,西班牙语
周期表,has parts of the class,元素周期
大不列颠及北爱尔兰联合王国,diplomatic relation,新西兰
殷墟,instance of,城市
赫伯特·斯宾塞,occupation,经济学家
中华民国,diplomatic relation,克罗地亚
台湾,diplomatic relation,马耳他
明神宗,country of citizenship,明朝
艇,subclass of,船
杞县,instance of,县
卢旺达,member of,非洲联盟
罗马尼亚,instance of,国家
波士顿,instance of,大城市
卡尔·乌斯,member of,瑞典皇家科学院
算术基本定理,instance of,定理
卡普阿斯河,mouth of the watercourse,卡里马塔海峡
格鲁吉亚,anthem,自由
罗马,country,罗马共和国
中华人民共和国国家统计局,country,中华人民共和国
拖雷,child,蒙哥
金门,country,以色列
唐太宗,sibling,李元吉
斐迪南二世,noble title,伯爵
马克思,native language,德语
虾,taxon rank,下目
大韩民国,diplomatic relation,索马里
默兹河,mouth of the watercourse,北海
拿撒勒,twinned administrative body,佛罗伦萨
正面心理学,subclass of,心理学
社会公正,headquarters location,俄罗斯
杭州,capital of,浙江省
威廉·肖克利,given name,威廉
德国工人党,instance of,政党
俄罗斯苏维埃联邦社会主义共和国,located in the administrative territorial entity,苏联
玄奘,occupation,作家
加里宁格勒,twinned administrative body,固原市
罗马尼亚,diplomatic relation,法国
延熹,instance of,年号
阿尔巴尼亚,member of,华沙条约组织
安道尔,continent,欧洲
阿拉伯联合酋长国,diplomatic relation,中华人民共和国
山东,contains administrative territorial entity,滨州市
伊朗,shares border with,纳希切万自治共和国
卡尔·皮尔逊,occupation,历史学家
Ca,diplomatic relation,香港
大名,applies to jurisdiction,大日本帝国
白俄罗斯人,instance of,族群
阿马蒂亚·森,occupation,作家
西亚,has part,巴林
永乐,instance of,年号
乳糖,instance of,化合物
查尔斯·库仑,sex or gender,男性
后周恭帝,country of citizenship,后周
条顿骑士团,allegiance,教宗
元年,country of origin,美国
爱沙尼亚,part of,波罗的海国家
卡利诺夫卡,instance of,村
瓦莱达奥斯塔,capital,奥斯塔
沈阳,country,中华人民共和国
也门,diplomatic relation,土耳其
北半球,has part,欧洲
中国驻屯军,location,天津市
班公湖,country,印度
斯拉夫语族,has part,东斯拉夫语支
有机,has parts of the class,酚
奥古斯特·孔德,sex or gender,男性
铀,named after,天王星
卢森堡语,instance of,语言
秦昭襄王,mother,宣太后
巨核细胞,subclass of,细胞
天主教,instance of,宗派
中华民国宪法,instance of,宪法
葡萄牙,diplomatic relation,孟加拉国
匈牙利王国,capital,布达佩斯
塞尔维亚,instance of,国家
印尼,diplomatic relation,哥伦比亚
阿马蒂亚·森,employer,哈佛大学
春季,follows,冬季
木卫一,parent astronomical body,木星
圣彼得堡,instance of,大城市
淘宝网,country,中华人民共和国
荀卿,occupation,哲学家
空,ideographic description sequences,工
瑞典,diplomatic relation,日本
天后,occupation,皇后
横山,instance of,姓氏
Ca,country,加拿大
柳公权,sex or gender,男性
红河州,country,中华人民共和国
斯堪的纳维亚半岛,country,挪威
德国,diplomatic relation,南苏丹
湖南,contains administrative territorial entity,永州市
莫泊桑,occupation,作家
奥斯塔,located in the administrative territorial entity,瓦莱达奥斯塔
拖雷,country of citizenship,蒙古帝国
岛根县,twinned administrative body,宁夏回族自治区
华盛顿,member of,共济会
中欧,contains administrative territorial entity,斯洛文尼亚
脱氧核糖核苷酸,part of,脱氧核糖核酸
泉州,instance of,地级市
汉惠帝,place of death,长安
比利时,shares border with,德国
地拉那,twinned administrative body,佛罗伦萨
可视化,use,计算机图形学
夸克,has quality,色荷
约旦,diplomatic relation,格鲁吉亚
复兴门北大街,part of,北京二环路
法兰西共和国,diplomatic relation,俄罗斯
北部非洲,located on terrain feature,非洲
机械能,has parts of the class,势能
新野,language of work or name,日语
阿尔巴尼亚,diplomatic relation,德国
建州,instance of,州
甘肃,shares border with,宁夏回族自治区
阿拉伯联合酋长国,diplomatic relation,沙特阿拉伯
中国南海,basin country,中华人民共和国
斯里兰卡,language used,英语
恒河平原,part of,印度
三一学院,located in the administrative territorial entity,牛津
中国南海,basin country,越南
庐江,instance of,县
北加里曼丹省,shares border with,砂拉越
北京官话,subclass of,官话
利比亚,diplomatic relation,马耳他
阿拉斯加,occupation,作曲家
毛里塔尼亚,member of,非洲联盟
埃及神话,part of,古埃及宗教
VMS,country,美国
托斯卡纳,located in the administrative territorial entity,意大利
江苏,contains administrative territorial entity,南通市
唐高祖,time period,唐朝
奈芙蒂斯,worshipped by,古埃及宗教
中国派遣军,part of,侵华日军
象牙海岸,shares border with,利比里亚
饮料,subclass of,食物
布莱尔港,country,印度
福音派,named after,福音书
东南亚国家,headquarters location,雅加达
冀,country,中华人民共和国
卡塔尔,instance of,主权国家
蛛形纲,taxon rank,纲
姒姓,instance of,姓氏
玻利维亚,deepest point,巴拉圭河
老普林尼,occupation,作家
乌拉圭,country,乌拉圭
红河州,instance of,自治州
信陵君,family name,魏
陶子,sex or gender,女性
法兰西共和国,contains administrative territorial entity,勃艮第
阿扎尔自治共和国,instance of,自治共和国
秦二世,sibling,子婴
西峡县,country,中华人民共和国
互联网工程任务组,country,美国
周勃,country of citizenship,秦朝
宋,basic form of government,君主制
马其顿共和国,diplomatic relation,土耳其
庆阳市,country,中华人民共和国
氦-4,subclass of,氦
冰岛,diplomatic relation,加拿大
格鲁吉亚,diplomatic relation,危地马拉
伊曼努尔·康德,field of work,伦理学
塞尔维亚-克罗地亚语,linguistic typology,主谓宾结构
谯周,occupation,政治人物
满洲国,country,满洲国
宙斯,father,克洛诺斯
匈牙利人民共和国,official language,匈牙利语
遵化市,country,中华人民共和国
万里长城,located in the administrative territorial entity,甘肃省
叙利亚,diplomatic relation,以色列
开封,located in the administrative territorial entity,金朝
牙买加,located on terrain feature,加勒比地区
可口可乐,owned by,可口可乐公司
斯洛文尼亚社会主义共和国,continent,欧洲
楚瓦什,official language,俄语
吉,capital,长春市
命令式编程,manifestation of,指令
塞纳-马恩省,shares border with,埃松省
上塞纳省,country,法国
中华民国,diplomatic relation,德国
美利坚合众国,diplomatic relation,圣多美和普林西比
正,radical,止部
中国少数民族,country,中华人民共和国
阿拉伯联合酋长国,diplomatic relation,马来西亚
赫尔辛基,shares border with,埃斯波
苏丹共和国,diplomatic relation,伊朗
贵族,instance of,社会阶级
迪庆藏族自治州,instance of,自治州
德国,instance of,主权国家
马克斯·韦伯,work location,海德堡
周文王,child,周公旦
葡萄牙郡,country,葡萄牙
中国国家标准化管理委员会,parent organization,国家市场监督管理总局
游戏,practiced by,玩家
巴尔干,country,斯洛文尼亚
摩洛哥,instance of,君主立宪制
中土,country,中华人民共和国
欧亚大草原,continent,亚洲
台湾,diplomatic relation,墨西哥
柔佛州,located in or next to body of water,柔佛海峡
西班牙,diplomatic relation,土耳其
杜甫,place of death,潭州
500年,followed by,501年
哥伦比亚,member of,南美洲国家联盟
平方公尺,measured physical quantity,面积
上海,twinned administrative body,蒙特利尔
匈牙利,diplomatic relation,希腊
俄国,diplomatic relation,奥地利
南京,twinned administrative body,圣路易斯
弗洛勒斯海,basin country,印度尼西亚
东帝汶,instance of,主权国家
挪威,part of,斯堪的纳维亚半岛
罗马尼亚,shares border with,摩尔多瓦
缺血,instance of,疾病
广汉,instance of,县级市
杜鲁门,conflict,第一次世界大战
伊拉克,official language,阿拉伯语
利比里亚,member of,非洲联盟
突厥,diplomatic relation,也门
中华人民共和国,capital,北京市
图书,has quality,语言
英文,influenced by,德语
宁德,contains administrative territorial entity,屏南县
糖苷,has part,氧
满-通古斯语族,part of,阿尔泰语系
大韩民国,diplomatic relation,日本
1869年,instance of,年
罗穆卢斯,country of citizenship,英属印度
墨西哥,contains administrative territorial entity,墨西哥城
长三角,instance of,三角洲
高斯,occupation,数学家
汉成帝,position held,中国皇帝
南欧,has part,西班牙
近音,instance of,发音方法
索马里,diplomatic relation,埃塞俄比亚
亚洲,has part,中东
唐三藏,inspired by,玄奘
拉丁美洲,has part,洪都拉斯
钢铁,Kijkwijzer rating,12
美国宪法,applies to jurisdiction,美国
唐太宗,position held,中国皇帝
佛罗伦萨,twinned administrative body,南京市
皮埃尔·居里,manner of death,意外
弘农郡,instance of,郡
夏威夷,official language,英语
菠萝,subclass of,水果
省级行政区,subclass of,中华人民共和国行政区划
UNESCO,official language,阿拉伯语
梵蒂冈,instance of,主权国家
卢梭,languages spoken written or signed,法语
约瑟夫·傅里叶,place of death,巴黎
倒数,different from,加法逆元
德国人,country,俄罗斯
嵩岳寺塔,instance of,塔
波兰战役,time period,第二次世界大战
赫伯特·斯宾塞,nominated for,诺贝尔文学奖
亨利·福特,occupation,发明家
繁体字,different from,传承字
布尔夏德一世,noble title,伯爵
澳门,driving side,左
内蒙,shares border with,山西省
世宗,sex or gender,男性
正字法,facet of,语言学
二次方程,statement describes,根
冶金,instance of,科学
约旦河,mouth of the watercourse,死海
马达加斯加,member of,非洲联盟
波斯语,country,伊朗
海德堡,country,德国
奥斯曼一世,religion,伊斯兰教
无极县,country,中华人民共和国
大气压,subclass of,压强
氧,location of discovery,英格兰
